Beta cell,Alpha cell,Delta cell
0.9068882,0.6221011281013489,0.40867525339126587
0.4610655,0.5814979076385498,0.810084343
0.5742944,0.779755712,0.4886017441749573
0.43361682,0.9435824751853943,0.8680309653282166
0.7115124,0.9848341941833496,0.6312530636787415
0.5986207,0.775928795,0.939096212
0.7396697,0.8782556653022766,0.8354312181472778
0.72708434,0.914685845,0.9790756702423096
0.5836361,0.9523782134056091,0.9185068607330322
0.8170959,0.5021113753318787,0.6261509656906128
0.67406064,1.0715305805206299,0.636730433
0.8334722,0.8412553071975708,0.8559083938598633
0.866361,0.8311716318130493,1.0767382383346558
0.6145622,0.9998317956924438,0.9335896968841553
0.5555059,0.7584072947502136,0.7129184007644653
0.42807308,0.7764387130737305,0.4174216091632843
0.48984918,0.904435396,0.8762250542640686
0.7031871,0.9036844968795776,0.8407942056655884
0.7508261,0.632650614,1.4692611694335938
0.84118974,0.7453317642211914,0.8431585431098938
0.51846856,0.4663352966308594,0.9104700684547424
0.846825,0.8017264604568481,0.8928677439689636
0.5124162,0.9390857815742493,1.0458394289016724
0.82564247,0.7034931778907776,0.8140904307365417
0.64029276,1.3408550024032593,0.8623659014701843
0.6710481,0.7107508182525635,0.7431815266609192
0.5641205,0.5342704057693481,1.1237692832946777
0.6796162,0.577433169,0.9243974685668945
0.84585387,1.427201271057129,0.49692296981811523
0.7558474,0.3772355020046234,0.8985596299171448
0.3384608,0.8663399815559387,1.028306484222412
0.90919757,0.5344423055648804,0.6048774123191833
0.7918854,0.69869411,0.8361384868621826
0.8645847,0.8269357085227966,0.9367929697036743
0.4731102,0.6135889887809753,1.0444213151931763
0.5440637,1.1241776943206787,0.6428346037864685
0.80783564,1.0270739793777466,0.7344703078269958
0.5130661,0.9300959706306458,1.3132268190383911
0.6340971,0.5367972254753113,0.7269754409790039
0.7235267,0.6973109245300293,1.0037821531295776
0.53832686,0.7141917943954468,1.2409348487854004
0.75283283,0.9442897439002991,0.5842745304107666
0.60929483,0.6907159686088562,1.0413150787353516
0.8654654,0.7092368006706238,0.38376864790916443
0.8541737,0.7741992473602295,0.6686949133872986
0.45696038,0.6423838138580322,0.8476372957229614
0.5307071,0.5979646444320679,1.0053300857543945
0.7311833,0.6822870373725891,1.4532554149627686
0.75495815,0.6642963886260986,0.958342969
0.49601474,0.9734604358673096,0.8695467114448547
0.58848304,0.5542800426483154,0.6433054804801941
0.678101,1.013861060142517,0.640700638
0.70334977,0.6069602966308594,0.7188777327537537
0.9488823,0.4854561984539032,0.7015586495399475
0.36914298,0.5922276973724365,0.5285424590110779
0.64835954,0.6288057565689087,0.7289190888404846
0.55170274,0.7229835987091064,0.9030453562736511
0.63226295,0.8276331424713135,0.6005975008010864
0.5843394,0.5575449466705322,0.866068959
0.26554608,0.9874236583709717,0.7337971925735474
0.41930878,0.9062591195106506,0.38694798946380615
0.66760266,1.0088216066360474,0.8095846176147461
0.43888432,0.524887204,0.8773077726364136
0.51095057,0.846361518,0.953123927
0.4033737,0.6124838590621948,0.42034271359443665
0.5986324,0.5642367005348206,0.9069377183914185
0.43402258,0.8130063414573669,0.8637507557868958
0.53598005,0.5545694828033447,0.5506389737129211
0.43725508,1.003690481185913,0.473315567
0.4651999,0.8567751049995422,1.0965428352355957
0.698781,0.8780808448791504,0.6443125009536743
0.42256272,0.837075412,0.905154288
0.6895676,0.5676230788230896,0.5635710954666138
0.34267247,0.9345386028289795,1.1506586074829102
0.35569096,0.5489601492881775,0.7124995589256287
0.41702074,0.8195158243179321,1.013596773147583
0.7924365,0.7757687568664551,1.2454406023025513
0.8059508,0.7375282049179077,0.40682244300842285
0.5504902,0.8379891514778137,0.9479720592498779
0.55659395,0.589706302,0.796687663
0.86805654,0.6256206035614014,0.7592363953590393
0.338647,0.5955999493598938,0.7953548431396484
0.74307364,0.54327631,0.8849400281906128
0.71737033,0.6470258235931396,0.47676703333854675
0.70746934,1.1291556358337402,0.7259172201156616
0.84793454,0.979404867,0.7415381073951721
0.73717874,0.9948303699493408,1.303274393081665
0.81883657,1.0112640857696533,0.8216473460197449
0.52582896,0.6106516122817993,0.3720039427280426
0.5185452,0.8994472026824951,0.8510646820068359
0.635978,1.1314771175384521,0.6833434104919434
0.6189497,0.5832738280296326,1.091717004776001
0.9182114,0.820360541,0.7318771481513977
0.88124824,0.7380276918411255,0.6085816025733948
0.49629244,0.7835131883621216,0.6122336983680725
0.51901644,0.7397652864456177,0.6686576008796692
0.8746353,0.5907736420631409,0.9428486227989197
0.7086355,0.7395474910736084,0.6453713774681091
0.5021129,0.9337378740310669,1.390494704246521
0.5390237,0.550940752,0.44521647691726685
0.4983464,0.9029576778411865,0.9956026673316956
0.50489926,0.6553031802177429,0.8269600868225098
0.49984294,0.6595665812492371,0.816483736
0.66393244,0.9650835394859314,0.9441521763801575
0.87026185,0.8656395077705383,0.5952438116073608
0.5823641,1.287535548210144,1.105169653892517
0.777005,0.7068055272102356,0.8760457038879395
0.74990463,0.6822428107261658,0.4661175608634949
0.61807895,0.7753007411956787,0.4024508595466614
0.740537,0.5052906274795532,0.8169583082199097
0.64868146,0.6078813076019287,0.7081482410430908
0.55891454,0.7826066017150879,0.8192546367645264
0.4129492,0.7457355856895447,0.6034696102142334
0.8565442,0.9082177877426147,0.6747994422912598
0.7737711,0.7366158366203308,0.7840577960014343
0.81183976,0.7948897480964661,1.0801563262939453
1.0819048,0.5904483199119568,0.5082172155380249
0.4564592,0.5989733934402466,0.6831097602844238
0.5952853,0.7112706303596497,0.5499162673950195
0.6022986,0.7724362015724182,0.494100422
0.98215705,0.6754024624824524,0.6987582445144653
0.8029705,0.6600479483604431,0.8491337895393372
0.58407253,0.8091694712638855,0.7783492207527161
0.69567263,0.6440591216087341,0.8773632049560547
0.75288695,0.699351966,0.6043886542320251
0.42264932,0.7452636957168579,0.7970336079597473
0.7873817,0.6375494599342346,0.7392474412918091
0.33959332,0.49151739478111267,0.4060960114002228
0.81533474,0.636956513,0.723103404
0.8307756,1.0141040086746216,0.7513999342918396
0.50658983,0.8516708016395569,0.6605954766273499
0.61786234,0.9592594504356384,0.7710941433906555
0.67093223,0.8480963706970215,0.7362915873527527
1.2611872,0.6054255962371826,0.657709539
1.0772527,0.6583163738250732,0.9132834672927856
0.74343306,0.8439920544624329,0.8705613017082214
